Ticker,fcfGrowth,fcfPsales,fcf,grossMargin,minROE,epsRate
OXBR,0,0,0,0,10.9,0
SYNL,0,2.223636363636363,2,12.651818181818184,0.34,7.713333333333334
HCLP,0,0,0,0,-8.39,0
GBDC,0,-253.67857142857142,-165,88.82857142857142,7.4,0
CVX,0,2.240909090909091,5322,36.971818181818186,7.92,18.159999999999997
NVFY,0,0,-3,0,12.06,0
GLPW,0,2.005714285714286,10,18.652727272727272,-0.45,0
GAIN,0,-130.673,-43,100.0,-5.44,0
PFLT,0,0,0,0,6.31,0
EMES,0,0,0,0,39.05,0
DLHC,0,0.006363636363636086,0,15.391818181818183,-61.97,0
HCAP,0,0,0,0,7.59,0
AGCO,36.294,3.539090909090909,275,19.022727272727273,-4.46,14.95
MCEP,0,-62.19166666666666,-53,75.785,2.5,0
GFED,0,32.86818181818182,7,0,-13.4,8.388571428571428
RM,0,45.32,56,0,7.87,0
FCLF,0,23.512727272727272,3,0,-10.34,0
FCAP,0,28.909090909090914,5,0,1.64,4.11625
CBNJ,0,47.23454545454545,10,0,-39.79,0
UBOH,0,28.202727272727273,6,0,5.13,0.9371428571428569
GSVC,0,0,0,0,-12.24,0
SJW,0,-11.278181818181817,-26,65.74272727272728,5.98,5.837000000000001
EMCF,0,12.853636363636362,2,0,3.93,2.3057142857142865
INTT,0,4.350909090909091,2,41.21181818181818,-52.23,0
FET,0,8.445714285714287,108,30.85285714285714,4.81,0
ACFC,0,-20.304545454545455,-5,0,-41.76,0
PFIS,0,29.429999999999996,8,0,3.08,3.0424999999999995
WPX,0,-18.15142857142857,-597,49.127142857142864,-26.41,0
WRLD,598.0,38.89272727272727,177,0,19.25,20.568999999999996
GPS,0,7.329090909090909,1129,37.87363636363636,14.68,8.14
HNNA,0,18.35,4,100.0,-0.8,0
ANCB,0,-7.965999999999998,-1,0,-38.48,0
LAKE,0,-0.42363636363636364,0,28.404545454545453,-44.09,4.7700000000000005
SKBI,0,-3.4120000000000004,0,50.56099999999999,-14.15,0
MAC,0,-26.79999999999999,-232,58.6675,1.06,3.1660000000000004
VNCE,0,0.38000000000000017,-8,36.64833333333333,36.47,0
TPUB,0,0,0,0,18.81,0
ARI,0,31.127142857142854,40,0,-1.11,0
AMBC,0,-97.43599999999999,-519,0,-76.75,0
ORC,0,0,7,0,-13.11,0
